age,number
0,55211
1,58229
2,57624
3,58572
4,57533
5,56149
6,56876
7,55267
8,55320
9,54893
10,53307
11,51093
12,50877
13,49902
14,48834
15,49912
16,51273
17,51803
18,55308
19,60708
20,63711
21,65781
22,66410
23,68334
24,69129
25,71039
26,72923
27,72241
28,73757
29,72478
30,74384
31,74225
32,73796
33,73718
34,71792
35,69826
36,67169
37,64576
38,62397
39,61354
40,61573
41,61322
42,62963
43,62880
44,65027
45,66670
46,62828
47,61436
48,59941
49,56707
50,56683
51,55219
52,56545
53,56409
54,54877
55,54550
56,52518
57,50768
58,49961
59,48019
60,47907
61,45244
62,43607
63,42913
64,41403
65,40990
66,39251
67,38197
68,38439
69,40124
70,33528
71,30844
72,30068
73,26433
74,26410
75,24609
76,23930
77,22528
78,21489
79,20277
80,19405
81,17510
82,16690
83,15349
84,14263
85,13714
86,13042
87,11101
88,9910
89,8798
90,7553
91,6033
92,5015
93,4017
94,3006
95,2410
96,1651
97,940
98,708
99,502
100,275
101,195
102,119
103,63
104,41
105,29
106,9
107,5
108,6
109,0
110,4
111,0
112,0
113,4
114,3
115,0
